Input	Match type	Approved symbol	Approved name	HGNC ID	Location
AA	Previous symbol	TEAD1	TEA domain transcription factor 1	HGNC:11714	11p15.3
ABCA4	Approved symbol	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
ABCC6	Approved symbol	ABCC6	ATP binding cassette subfamily C member 6	HGNC:57	16p13.11
ABCR	Previous symbol	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
ABHD12	Approved symbol	ABHD12	abhydrolase domain containing 12	HGNC:15868	20p11.21
ABL	Synonyms	MTTP	microsomal triglyceride transfer protein	HGNC:7467	4q23
ABL	Previous symbol	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	HGNC:76	9q34.12
ABRI	Unmatched				
ACBD5	Approved symbol	ACBD5	acyl-CoA binding domain containing 5	HGNC:23338	10p12.1
ACDP4	Previous symbol	CNNM4	cyclin and CBS domain divalent metal cation transport mediator 4	HGNC:105	2q11.2
ACHM1	Previous symbol	CNGB3	cyclic nucleotide gated channel beta 3	HGNC:2153	8q21.3
ACHM2	Previous symbol	CNGA3	cyclic nucleotide gated channel alpha 3	HGNC:2150	2q11.2
ACHM3	Previous symbol	CNGB3	cyclic nucleotide gated channel beta 3	HGNC:2153	8q21.3
ACHM4	Synonyms	GNAT2	G protein subunit alpha transducin 2	HGNC:4394	1p13.3
ACHM5	Synonyms	PDE6C	phosphodiesterase 6C	HGNC:8787	10q23.33
ADAM9	Approved symbol	ADAM9	ADAM metallopeptidase domain 9	HGNC:216	8p11.22
ADAMTS18	Approved symbol	ADAMTS18	ADAM metallopeptidase with thrombospondin type 1 motif 18	HGNC:17110	16q23.1
ADCA2	Unmatched				
ADGRV1	Approved symbol	ADGRV1	adhesion G protein-coupled receptor V1	HGNC:17416	5q14.3
ADIPOR1	Approved symbol	ADIPOR1	adiponectin receptor 1	HGNC:24040	1q32.1
ADNIV	Synonyms	CAPN5	calpain 5	HGNC:1482	11q13.5
AGBL5	Approved symbol	AGBL5	ATP/GTP binding protein like 5	HGNC:26147	2p23.3
AGS	Previous symbol	JAG1	jagged 1	HGNC:6188	20p12.2
AGS1	Synonyms	RASD1	ras related dexamethasone induced 1	HGNC:15828	17p11.2
AGS1	Previous symbol	TREX1	three prime repair exonuclease 1	HGNC:12269	3p21.31
AHI1	Approved symbol	AHI1	Abelson helper integration site 1	HGNC:21575	6q23.3
AIED	Previous symbol	CACNA1F	calcium voltage-gated channel subunit alpha1 F	HGNC:1393	Xp11.23
AIPL1	Approved symbol	AIPL1	aryl hydrocarbon receptor interacting protein like 1	HGNC:359	17p13.2
ALMS1	Approved symbol	ALMS1	ALMS1, centrosome and basal body associated protein	HGNC:428	2p13.1
ALS2CR4	Previous symbol	TMEM237	transmembrane protein 237	HGNC:14432	2q33.1
ALSS	Unmatched				
AOM	Previous symbol	COL2A1	collagen type II alpha 1 chain	HGNC:2200	12q13.11
ARA	Synonyms	FOXC1	forkhead box C1	HGNC:3800	6p25.3
ARA	Previous symbol	ABCC6	ATP binding cassette subfamily C member 6	HGNC:57	16p13.11
ARL2BP	Approved symbol	ARL2BP	ADP ribosylation factor like GTPase 2 binding protein	HGNC:17146	16q13
ARL3	Approved symbol	ARL3	ADP ribosylation factor like GTPase 3	HGNC:694	10q24.32
ARL6	Approved symbol	ARL6	ADP ribosylation factor like GTPase 6	HGNC:13210	3q11.2
ARMD1	Previous symbol	HMCN1	hemicentin 1	HGNC:19194	1q25.3-q31.1
ARMD10	Synonyms	TLR4	toll like receptor 4	HGNC:11850	9q33.1
ARMD2	Synonyms	ABCA4	ATP binding cassette subfamily A member 4	HGNC:34	1p22.1
ARMD3	Synonyms	FBLN5	fibulin 5	HGNC:3602	14q32.12
ARMD4	Synonyms	CFH	complement factor H	HGNC:4883	1q31.3
ARMD5	Synonyms	ERCC6	ERCC excision repair 6, chromatin remodeling factor	HGNC:3438	10q11.23
ARMD6	Synonyms	RAX2	retina and anterior neural fold homeobox 2	HGNC:18286	19p13.3
ARMD7	Synonyms	HTRA1	HtrA serine peptidase 1	HGNC:9476	10q26.13
ARMD8	Synonyms	ARMS2	age-related maculopathy susceptibility 2	HGNC:32685	10q26.13
ARMD9	Synonyms	C3	complement C3	HGNC:1318	19p13.3
ARMS1	Synonyms	CFH	complement factor H	HGNC:4883	1q31.3
ARMS2	Approved symbol	ARMS2	age-related maculopathy susceptibility 2	HGNC:32685	10q26.13
ARTS	Synonyms	SEPT4	septin 4	HGNC:9165	17q22
ASCC3L1	Previous symbol	SNRNP200	small nuclear ribonucleoprotein U5 subunit 200	HGNC:30859	2q11.2
ASP	Synonyms	ASIP	agouti signaling protein	HGNC:745	20q11.22
ASP	Synonyms	ASPM	abnormal spindle microtubule assembly	HGNC:19048	1q31.3
ASP	Synonyms	ASPA	aspartoacylase	HGNC:756	17p13.2
ASP	Synonyms	ATG5	autophagy related 5	HGNC:589	6q21
